Name,Job,Age,Salary
Jennifer Cortez,High School Teacher,54,14500.0
Shannon Moran,Software Engineer,36,11400.0
Phillip Williams,Accountant,29,7800.0
Nancy Wilson,Dentist,42,17200.0
Chad Chase,Accountant,23,7000.0
Taylor French,High School Teacher,62,16700.0
Melissa Bryant,High School Teacher,52,12700.0
Linda Carson,High School Teacher,38,11000.0
Julie Wilkerson,Dentist,43,17000.0
Timothy Garcia,Accountant,33,9000.0
James Bradford,High School Teacher,31,6400.0
Craig Harris,Dentist,34,12800.0
Taylor Johnson,Accountant,55,15100.0
Scott Rodriguez,Software Engineer,65,20600.0
Kevin Robinson,High School Teacher,63,17200.0
Michelle Fuller,High School Teacher,56,15100.0
Pamela Cameron,Accountant,55,16100.0
Michelle Flores,Accountant,41,11400.0
David Ward,Dentist,58,20000.0
Michael Torres,Dentist,63,22500.0
Mrs. Wendy Taylor,Software Engineer,43,14200.0
Anthony Ray,Software Engineer,42,12700.0
Dawn Richardson,High School Teacher,34,9800.0
Jennifer Francis,Accountant,28,7700.0
Leon Smith,Software Engineer,51,17900.0
Tracie David,Accountant,46,14400.0
Stefanie Bennett,Software Engineer,32,12200.0
William Rivas,Software Engineer,23,9000.0
Angela Taylor,High School Teacher,47,12700.0
Casey White,Accountant,64,19800.0
Melanie Bowman,Dentist,29,12300.0
Carolyn Ford,Software Engineer,54,17800.0
Brittany Smith,Software Engineer,40,13300.0
Craig Li,Dentist,33,14000.0
Brian Nguyen,High School Teacher,30,6600.0
Sarah Zimmerman,Dentist,43,16200.0
Isabel Buchanan,High School Teacher,53,13000.0
Heather White,Dentist,53,19200.0
Katherine Reyes,Software Engineer,39,13000.0
Sherri Reed,Software Engineer,33,11000.0
Emily Hernandez,Software Engineer,27,8700.0
Lindsey Boyd,Software Engineer,43,15000.0
Kimberly Carlson,Dentist,56,18900.0
Brian Russell,Dentist,58,19500.0
Dawn Porter,Dentist,49,18800.0
Mark Cardenas,High School Teacher,52,14200.0
Regina Harmon,Dentist,30,12300.0
Anthony Clark,Software Engineer,39,14300.0
Michael Silva,High School Teacher,35,8100.0
Michelle Smith,High School Teacher,44,12800.0
Andre Chandler,Software Engineer,26,7900.0
Robert Smith,High School Teacher,41,10900.0
Monica Rodriguez,High School Teacher,42,10900.0
Elizabeth Harris,High School Teacher,42,12200.0
Kevin Cooper,Accountant,34,10800.0
Nicole Parker,Accountant,54,16300.0
Eric Fowler,High School Teacher,44,11300.0
Laura Armstrong,Accountant,54,15800.0
Eileen Miles,High School Teacher,36,9900.0
George Bennett,Dentist,30,12600.0
Jennifer Roberts,Software Engineer,58,19000.0
Joanna Briggs,Software Engineer,31,11400.0
Kyle Rich,High School Teacher,30,8100.0
Brandon Weaver,High School Teacher,60,16300.0
April Robinson,High School Teacher,24,5800.0
Alexandra Clark,Software Engineer,41,13600.0
Kevin Knapp,High School Teacher,35,8600.0
Christina Green,High School Teacher,62,16700.0
Michelle Dougherty,Software Engineer,28,9700.0
Stacey Barajas,Software Engineer,39,13000.0
Steven Smith,Software Engineer,23,9500.0
Mr. Kevin Hoffman MD,High School Teacher,25,6100.0
Justin Wade,Accountant,37,10400.0
Nicholas Garcia,Software Engineer,30,11600.0
Katherine Lopez,Accountant,51,15900.0
Haley Morgan,Accountant,24,6800.0
Krista Wilson,Accountant,61,18900.0
Patricia Brown,Accountant,53,15000.0
John Garcia,Accountant,53,16000.0
Krystal Lloyd,Dentist,35,14600.0
Amanda Parker,Dentist,26,11400.0
John Brown,Software Engineer,39,14300.0
Deborah Rowe,Accountant,50,13100.0
John Jackson,Software Engineer,57,18200.0
Jennifer Martinez,Software Engineer,49,15300.0
Mark Wiggins,Accountant,40,11600.0
Nicole Dorsey,High School Teacher,63,18000.0
Frank Leblanc,Accountant,52,14700.0
Tom Durham,Accountant,28,7500.0
Tim Crane,Dentist,38,16000.0
Jessica Glass,Dentist,36,14400.0
Dr. Deanna Smith,Software Engineer,56,17400.0
Anthony Roberts,Dentist,64,23300.0
Martin Foster,Accountant,44,13800.0
Steven Stephens,Software Engineer,54,17800.0
Matthew Howard,Software Engineer,51,16900.0
Donald Graham,Dentist,63,22500.0
Megan Harris,High School Teacher,36,10400.0
Ronald Smith,Software Engineer,36,11900.0
Juan Dillon,Software Engineer,60,18600.0
Benjamin Freeman,Accountant,58,16500.0
Alice Paul,Dentist,62,23200.0
Richard Swanson,High School Teacher,31,7900.0
Roy Estrada,Dentist,43,16200.0
Richard Kirby Jr.,Software Engineer,44,13300.0
John Martinez,Accountant,23,6500.0
Brittany Clayton,High School Teacher,23,4500.0
Jennifer Henson,Dentist,62,20700.0
Evan Gibson,Software Engineer,27,9400.0
Michael Maxwell,Dentist,62,22200.0
Victoria Boone,Accountant,43,12500.0
Annette Woods,Accountant,52,13700.0
Angela Garcia,Dentist,34,12800.0
Vincent Glover,High School Teacher,56,14400.0
Christopher Richardson,High School Teacher,50,12100.0
Dr. Patricia House,Accountant,58,16500.0
Theresa Snyder,Software Engineer,57,17200.0
Aaron Nielsen,Software Engineer,33,11200.0
Dr. Mark Christian,Dentist,54,20800.0
Gary Padilla,Accountant,47,13400.0
Samantha Moon,Software Engineer,26,8900.0
David Woods MD,Software Engineer,58,19000.0
Laurie Davis,Accountant,48,12500.0
Lisa Carroll,Software Engineer,34,12800.0
Kelsey Richards,Software Engineer,43,13500.0
Jennifer Jacobs,Dentist,45,16800.0
George Charles,Software Engineer,39,14300.0
Holly Harris,High School Teacher,32,7200.0
Olivia Stewart,Dentist,29,12000.0
Patrick Good,Dentist,64,22800.0
Rickey Reyes,Dentist,43,16200.0
Jennifer Grimes,Accountant,33,9000.0
Anthony Murphy,High School Teacher,24,5800.0
Kristen Barber,High School Teacher,31,8900.0
Roberto Bryan,Software Engineer,48,15700.0
Mary Valentine,Dentist,64,22300.0
Melissa Cole,Dentist,58,22000.0
Jesse Pruitt,Software Engineer,33,11500.0
Candice Mills,Accountant,33,9500.0
Charles Rodriguez,High School Teacher,27,7700.0
Donald Mcclain,Software Engineer,42,14700.0
Connie Soto,Software Engineer,26,10400.0
Shannon Hancock II,Software Engineer,52,16200.0
Kathleen Stone,High School Teacher,64,17800.0
Christina Watkins,High School Teacher,37,10700.0
Megan Pham,High School Teacher,49,13300.0
Tabitha Robinson,Accountant,57,16700.0
Sarah Ellis,Accountant,28,7000.0
Alisha Johns,High School Teacher,35,9600.0
Joseph Bennett,Software Engineer,50,16300.0
Jennifer Jackson,Software Engineer,65,20100.0
Robert Hicks,Accountant,60,18600.0
Barbara Daniel,Software Engineer,55,17800.0
Corey Stanton,High School Teacher,42,12200.0
Amy Owens,Software Engineer,51,17400.0
Danielle Maxwell,High School Teacher,28,6000.0
Allison Meadows,Dentist,44,16500.0
Amanda Stuart,High School Teacher,53,14000.0
Anthony Cox MD,Accountant,38,12000.0
Thomas Mason,Dentist,34,14300.0
Mark Ball,Accountant,47,13400.0
Kathryn Torres,High School Teacher,42,10700.0
Sara Martinez,Dentist,45,15600.0
Kelly Holmes,Accountant,43,12200.0
Michelle Rivera,Software Engineer,64,20800.0
Jennifer Goodman,Dentist,51,17400.0
Brian Owens,Accountant,27,8700.0
Victoria Buckley,High School Teacher,42,11200.0
Trevor Martinez,High School Teacher,35,8800.0
Katherine Crawford,Dentist,35,13800.0
Mr. Austin Anderson,Dentist,52,17700.0
Emily Brown,Accountant,25,6100.0
Brandon Carter,Software Engineer,45,15100.0
Heather Garcia,Software Engineer,40,13300.0
William Nichols,Software Engineer,50,16100.0
Katherine Dominguez,Software Engineer,36,10900.0
Samantha Johnson,Software Engineer,26,8400.0
Adam Owens,Software Engineer,55,17600.0
Dennis Hughes,High School Teacher,50,13300.0
Valerie Webb,High School Teacher,52,15200.0
Lisa Smith,Dentist,30,13100.0
Greg Dunlap,Software Engineer,38,13000.0
Andrew Lyons,High School Teacher,32,7700.0
Tanner Thompson,Accountant,50,13600.0
Michael Fleming,Software Engineer,58,18500.0
Victoria Douglas,Software Engineer,31,9400.0
Matthew Lucas,Accountant,57,17200.0
Amanda Carpenter,Software Engineer,49,14800.0
Troy Atkins,Dentist,59,21000.0
Lauren Moss,Dentist,41,16900.0
Ashley Osborn,Accountant,30,7600.0
Jack Marshall,Dentist,57,21700.0
Robert Miller,Accountant,41,12400.0
Tim Smith,Accountant,28,8500.0
Amanda Rodriguez,High School Teacher,48,12700.0
Russell Miller,Dentist,34,13500.0
Briana Huff,Software Engineer,48,16500.0
Shelby Jackson,Accountant,43,11000.0
James Allen,Dentist,39,16300.0
Zachary Garcia,Accountant,25,8100.0
Edwin Walker,Software Engineer,59,19800.0
Kenneth Garcia,High School Teacher,51,13400.0
Jonathan Johnson,Software Engineer,33,12500.0
Nicole Wright,Accountant,37,10400.0
Sarah Hill,High School Teacher,29,7800.0
Matthew Pena,Dentist,50,19100.0
Robert Keith,Accountant,42,11900.0
Lisa Blair,Accountant,58,17000.0
Jason Hernandez,High School Teacher,54,15800.0
Richard Serrano,Dentist,32,13200.0
Christina Clayton,High School Teacher,39,10300.0
Jordan Smith,Dentist,30,13600.0
Matthew Cox,Accountant,61,17600.0
Dale Gutierrez,High School Teacher,38,10500.0
Melissa Lopez,Dentist,27,12700.0
Laurie Brooks,Accountant,31,8400.0
Debra Thompson,High School Teacher,57,15200.0
Robert Montgomery,High School Teacher,49,13000.0
Patrick Johns,Software Engineer,47,14700.0
Jonathan Perez,Accountant,49,13800.0
David Wallace,Software Engineer,28,9500.0
Brian Williams,Software Engineer,25,10100.0
Jessica Mason,Accountant,53,15200.0
Samantha Robinson,Software Engineer,58,18000.0
Mark Zamora,High School Teacher,47,13700.0
James Anderson,Dentist,44,16800.0
Sabrina Juarez MD,Dentist,53,20500.0
Ronald Singh,Dentist,49,19300.0
Joseph Strickland,Accountant,33,10500.0
Jason Hess,Dentist,54,20800.0
Michael Ward,Dentist,34,13500.0
